,Frame Number,Time,Image Mean
0,0.0,0.0,0.0
1,60.0,2.4,3.7761605783866057
2,80.0,3.2,3.100440766108574
3,100.0,4.0,4.277222856418062
4,120.0,4.8,4.382879883307965
5,140.0,5.6,3.4950374175545407
6,160.0,6.4,3.6440892947742265
7,180.0,7.2,3.2462582445459156
8,200.0,8.0,3.699343607305936
9,220.0,8.8,3.5405885337392187
10,240.0,9.6,3.1705194063926943
11,260.0,10.4,3.6133625063419585
12,280.0,11.2,4.945126204972095
13,300.0,12.0,4.131135844748859
14,320.0,12.8,3.6090499746321663
